time,open,high,low,close,MA
2010-09-01,102.5,105.68,101.14002,104.35998,
2010-10-01,105.07998,109.28,103.5,108.29998,
2010-11-01,108.92002,112.29998,107.4744,108.18,
2010-12-01,109.92002,115.6,109.88,115.14002,
2011-01-03,115.94,119.22,115.48002,117.70002,
2011-02-01,118.48002,123.22,118.38,121.78,
2011-03-01,122.28,122.29998,114.64002,121.24,
2011-04-01,122.12,124.88,118.44018,124.79998,
2011-05-02,125.44,125.44,120.16,123.34,116.09333111111111
2011-06-01,123.04,123.04,115.54,120.68,117.90666666666668
2011-07-01,120.74,124.1,117.44,118.20002,119.00667111111112
2011-08-01,119.78,119.82,100.92002,111.68,119.39556
2011-09-01,111.74,112.79998,102.38,103.51998,118.10444444444445
2011-10-03,102.82,118.29998,98.24,114.64002,117.76444444444445
2011-11-01,111.54,117.01998,106.29998,114.29998,116.93333111111113
2011-12-01,114.14002,118.16,110.44,114.9,116.2288866666667
2012-01-03,116.9,122,115.68,120.04,115.70000000000002
2012-02-01,121,126.3952,120.85998,125.18,115.90444444444448
2012-03-01,125.64002,129.83982,122.9,128.74,116.80000000000003
2012-04-02,128.74,130.12,124.22,127.92002,117.88000000000004
2012-05-01,127.96,129.6,118.5532,120.24,118.83111111111114
2012-06-01,118.34,125.29998,116.34298,124.56,121.16889111111112
2012-07-02,124.9,127.46,121.32,126.06,122.43777777777781
2012-08-01,126.88,130.94,124.07998,129.22,124.09555777777781
2012-09-04,129.14002,135.57998,128.24,131.84,125.97778000000004
2012-10-01,132.29998,134.72,128.54,129.26,127.0022244444445
2012-11-01,129.72,131.57998,123.38,130,127.53778000000004
2012-12-03,130.74,133.32,127.79998,130.38,127.72000222222226
2013-01-02,132.94,138.20002,132.56,137.12,128.74222222222227
2013-02-01,137.98002,140.35998,136.22,138.94,130.82000000000005
2013-03-01,138.32,143.62,137.74,143.28,132.90000000000003
2013-04-01,143.4,146.28,140.57998,146.28,135.14666666666668
2013-05-01,145.92002,154.85198,144.78,149.68,137.42000000000002
2013-06-03,150.06,152,142.66,146.68,139.06888888888892
2013-07-01,147.7398,155.61358,146.76,154.46,141.8688888888889
2013-08-01,155.68,156.61802,149.34,149.70002,144.05778
2013-09-03,151.32,159.04,149.94,154,146.68222444444444
2013-10-01,154.04,162.62,150.72,160.88,149.32222444444446
2013-11-01,161.28,166.51,160.1,165.7,152.2955577777778
2013-12-02,165.95,169.23,162.01,169.15,155.17000222222225
2014-01-02,168.53,169.43,162.07,163.18,157.04778
2014-02-03,163.02,171.469,159.18,170.63,159.37555777777777
2014-03-03,169.19,173.189,168.38,171.35,162.11666888888888
2014-04-01,171.87,173.82,166.1121,172.59,164.13111333333333
2014-05-01,172.5,176.69,170.44,176.55,167.11444444444444
2014-06-02,176.83,180.57,175.944,179.43,169.93999999999997
2014-07-01,179.88,182.5,176.96,176.96,171.72666666666666
2014-08-01,176.52,184.17,174.7,183.99,173.7588888888889
2014-09-02,184.3,185.84,179.77,180.59,175.03
2014-10-01,180.34,185.05,166.85,184.93,177.44666666666666
2014-11-03,185.2,190.63,183.45,190.03,179.60222222222222
2014-12-01,189.29,191.634,181.44,188.4,181.49666666666667
2015-01-02,189.29,189.72,182.0868,182.99,182.6522222222222
2015-02-02,183.5,194.65,181.47,193.2,184.50222222222223
2015-03-02,193.31,194.47,187.15,189.2,185.58777777777777
2015-04-01,189.17,194.74,187.47,191.1,187.1588888888889
2015-05-01,191.96,195.95,189.53,193.49,188.21444444444444
2015-06-01,194.23,195.53,188.24,188.84,189.13111111111112
2015-07-01,190.65,195.46,187.19,192.95,190.02222222222224
2015-08-03,193,193.75,168.08,181.11,189.03111111111107
2015-09-01,177.11,185.99,171.3601,175.71,187.62111111111108
2015-10-01,175.97,192,173.35,190.56,188.4622222222222
2015-11-02,190.98,194.06,185.36,191.37,188.25888888888886
2015-12-01,192.05,193.4462,183.31,186.93,188.00666666666663
2016-01-04,183.77,185.115,165.96,177.75,186.5233333333333
2016-02-01,176.61,180.36,166.05,177.38,184.73333333333332
2016-03-01,178.84,189.72,178.33,188.56,184.70222222222222
2016-04-01,187.4,193.43,186.26,189.22,184.28777777777776
2016-05-02,189.81,193.27,185.97,192.54,185.55777777777777
2016-06-01,191.88,194.95,182.27,192.2,187.39
2016-07-01,192.09,199.6,189.97,199.28,188.35888888888888
2016-08-01,199.33,201.51,196.88,199.52,189.26444444444442
2016-09-01,199.5,201.15,194.12,198.69,190.5711111111111
2016-10-03,198.18,198.95,193.92,195.13,192.5022222222222
2016-11-01,195.52,203.692,191.32,202.4,195.2822222222222
2016-12-01,202.68,209.7,201.24,205.31,197.14333333333332
2017-01-03,206.68,210.9,205.56,208.97,199.33777777777775
2017-02-01,209.62,217.8956,208.23,217.07,202.0633333333333
2017-03-01,218.9,220.66,212.62,216.35,204.7466666666666
2017-04-03,216.51,219.8979,213.47,218.6,206.89333333333332
2017-05-01,219.16,222.24,216.1301,221.67,209.3544444444444
2017-06-01,222.14,225.765,220.4191,222.06,211.9511111111111
2017-07-03,223.09,227.78,220.72,226.64,215.4522222222222
2017-08-01,227.3,228.62,222.12,227.3,218.21888888888887
2017-09-01,227.76,230.9,224.98,230.76,221.04666666666665
2017-10-02,231,236.88,230.91,236.13,224.06444444444443
2017-11-01,237.03,244.4,234.82,243.35,226.98444444444442
2017-12-01,243.25,248.01,239.521,245.29,230.19999999999996
2018-01-02,246.15,263.37,245.7361,258.99,234.6877777777778
2018-02-01,258.29,260.12,232.42,249.34,237.7622222222222
2018-03-01,249.53,257.71,237.53,242.08,239.98666666666662
2018-04-02,241.19,249.22,233.92,242.92,241.79555555555555
2018-05-01,242.45,251.939,237.92,248.79,244.18333333333328
2018-06-01,250.23,256.77,246.6304,249.51,246.26666666666662
2018-07-02,247.56,261.25,247.32,258.4,248.74111111111108
2018-08-01,258.64,268.05,256.48,266.72,251.33777777777772
2018-09-04,266.35,270.67,263.45,267.05,253.75555555555553
2018-10-01,268.46,269.47,238.79,248.79,252.62222222222215
2018-11-01,249.63,258.4368,241.73,253.48,253.08222222222219
2018-12-03,257.65,257.74,214.83,229.81,251.71888888888887
2019-01-02,226.18,248.53,223.97,248.01,252.28444444444438
2019-02-01,248.31,258.61,246.2,256.07,253.0933333333333
2019-03-01,257.81,262.59,250.34,259.54,254.20777777777772
2019-04-01,261.46,270.41,261.19,270.01,255.49777777777774
2019-05-01,270.68,270.865,252.77,252.87,253.95888888888885
2019-06-03,252.83,272.79,250.77,269.15,254.19222222222217
2019-07-01,272.46,277.55,270.3,273.08,256.89111111111106
2019-08-01,273.28,276.28,258.7,268.6,258.5711111111111
2019-09-03,266.83,277.98,265.68,272.6,263.3255555555555
2019-10-01,273.44,279.69,261.59,278.55,266.71888888888884
2019-11-01,280.05,289.78,279.91,288.65,270.33888888888885
2019-12-02,289.03,297.51,282.1,295.8,274.36777777777775
2020-01-02,297.29,305.92,294.35,295.69,277.2211111111111
2020-02-03,297.12,311.59,262.25,271.74,279.31777777777774
2020-03-02,274,288.3197,200.55,236.82,275.7255555555555
2020-04-01,227.92,271,224.13,267.1,275.0611111111111
2020-05-01,262.14,282.04,253.97,279.75,276.29999999999995
2020-06-01,279.07,297.32,272.77,283.43,277.50333333333333
2020-07-01,284.37,300.62,283.95,300.1,279.8977777777778
2020-08-03,301.65,322.83,301.13,321.02,283.4944444444444
2020-09-01,321.81,329.67,295.04,307.65,284.811111111111
2020-10-01,310.16,325.222,296.37,299.82,285.27
2020-11-02,303.37,335.2,300.63,332.64,292.03666666666663
2020-12-01,335.92,344.37,333.77,343.69,303.9111111111111
2021-01-04,345.02,354.645,335.37,340.18,312.0311111111111
2021-02-01,343.63,362.37,341.4,349.59,319.7911111111111
2021-03-01,354.55,366.05,341.915,364.3,328.7766666666667
2021-04-01,366.2,386.74,366.03,383.57,338.05111111111114
2021-05-03,385.56,388.68,372.13,386.13,345.28555555555556
2021-06-01,388.5,394.45,382.52,393.52,354.82666666666665
2021-07-01,394.3,406.13,387.93,403.15,366.3077777777778
2021-08-02,404.78,416.56,400.92,415.05,375.4644444444445
2021-09-01,416.05,417.44,394.34,394.4,381.09888888888895
2021-10-01,396.2262,422.515,391.96,422.16,390.20777777777784
2021-11-01,423.19,435.41,418.63,419.06,397.92666666666673
2021-12-01,424.47,440.36,412.77,436.57,405.9566666666667
2022-01-03,437.93,441.26,386.84,413.69,409.3033333333334
2022-02-01,414.34,421.18,377.5,401.36,410.9955555555556
2022-03-01,400.01,424.72,381.64,415.17,413.40111111111116
2022-04-01,416.68,420.82,378,378.7,410.68444444444447
2022-05-02,378.79,394.925,349.76,379.68,406.75444444444446
2022-06-01,381.61,383.74,334.24,346.88,401.47444444444443
2022-07-01,346.16,379.66,341.045,378.79,396.65555555555557
2022-08-01,376.12,396.89,363.11,363.15,390.4433333333334
2022-09-01,361.1,378.51,328.12,328.3,378.41333333333336
2022-10-03,331.79,357.98,319.87,354.95,371.88666666666666
2022-11-01,358.53,374.59,338.9,374.49,368.90111111111105
2022-12-01,375.87,377.19,344.34,351.34,361.8088888888889
2023-01-03,353.181,375.08,347.19,373.44,361.22444444444443
2023-02-01,372.44,384.41,361.73,364.11,359.4944444444444
2023-03-01,363.34,376.34,349.76,376.07,362.7377777777778
2023-04-03,375.6,382.12,370.98,382.05,363.1
2023-05-01,381.73,388.26,370.92,383.89,365.4044444444445
2023-06-01,384.2,408.76,382.97,407.28,374.18
2023-07-03,406.92,422.15,401.56,420.68,381.48333333333335
2023-08-01,419.26,420.08,397.85,413.83,385.8544444444444
2023-09-01,416.46,416.88,389.45,392.7,390.45000000000005
2023-10-02,391.9,402.5,375.945,384.17,391.64222222222224
2023-11-01,385.09,421.12,384.62,419.4,397.78555555555556
2023-12-01,418.83,438.84,417.46,436.8,404.53333333333336
2024-01-02,433.91,451.81,428.64,443.82,411.3966666666667
2024-02-01,445.35,468.87,444.6502,466.93,420.62333333333333
2024-03-01,467.83,483.235,464.06,480.7,428.78111111111116
